country,year,event,lat,lon
Afghanistan,1942,establish legation,33.94,67.71
Afghanistan,1948,elevate to embassy,33.94,67.71
Afghanistan,1989,closure,33.94,67.71
Afghanistan,2002,reopen embassy,33.94,67.71
Albania,1922,establish legation,41.15,20.17
Albania,1939,closure,41.15,20.17
Albania,1991,reopen embassy,41.15,20.17
Algeria,1962,establish embassy,28.03,1.66
Algeria,1967,closure,28.03,1.66
Algeria,1974,reopen embassy,28.03,1.66
Angola,1994,establish embassy,-11.2,17.87
Antigua and Barbuda,1981,establish embassy,17.06,-61.8
Antigua and Barbuda,1994,closure,17.06,-61.8
Argentina,1854,establish legation,-38.42,-63.62
Argentina,1857,closure,-38.42,-63.62
Argentina,1862,reopen legation,-38.42,-63.62
Argentina,1914,elevate to embassy,-38.42,-63.62
Argentina,1944,closure,-38.42,-63.62
Argentina,1945,reopen embassy,-38.42,-63.62
Armenia,1992,establish embassy,40.07,45.04
Australia,1940,establish legation,-25.27,133.78
Australia,1946,elevate to embassy,-25.27,133.78
Austria,1921,establish legation,47.52,14.55
Austria,1938,closure,47.52,14.55
Austria,1946,reopen legation,47.52,14.55
Austria,1951,elevate to embassy,47.52,14.55
Austrian Empire,1838,establish legation,47.52,14.55
Austrian Empire,1902,elevate to embassy,47.52,14.55
Austrian Empire,1917,closure,47.52,14.55
Azerbaijan,1992,establish embassy,40.14,47.58
Bahrain,1971,establish embassy,25.93,50.64
Bangladesh,1972,establish embassy,23.68,90.36
Barbados,1966,establish embassy,13.19,-59.54
Belarus,1992,establish embassy,53.71,27.95
Belgium,1832,establish legation,50.5,4.47
Belgium,1919,elevate to embassy,50.5,4.47
Belgium,1940,closure,50.5,4.47
Belgium,1944,reopen embassy,50.5,4.47
Belize,1981,establish embassy,17.19,-88.5
Benin,1961,establish embassy,9.31,2.32
Bolivia,1849,establish legation,-16.29,-63.59
Bolivia,1942,elevate to embassy,-16.29,-63.59
Bosnia and Herzegovina,1992,establish embassy,43.92,17.68
Botswana,1966,establish embassy,-22.33,24.68
Brazil,1825,establish legation,-14.24,-51.93
Brazil,1905,elevate to embassy,-14.24,-51.93
Brunei,1984,establish embassy,4.54,114.73
Bulgaria,1919,establish legation,42.73,25.49
Bulgaria,1941,closure,42.73,25.49
Bulgaria,1947,reopen legation,42.73,25.49
Bulgaria,1950,closure,42.73,25.49
Bulgaria,1959,reopen legation,42.73,25.49
Bulgaria,1966,elevate to embassy,42.73,25.49
Burkina Faso,1960,establish embassy,12.24,-1.56
Burundi,1962,establish embassy,-3.37,29.92
Cambodia,1950,establish legation,12.57,104.99
Cambodia,1952,elevate to embassy,12.57,104.99
Cambodia,1965,closure,12.57,104.99
Cambodia,1969,reopen embassy,12.57,104.99
Cambodia,1975,closure,12.57,104.99
Cambodia,1994,reopen embassy,12.57,104.99
Cameroon,1960,establish embassy,7.37,12.35
Canada,1927,establish legation,56.13,-106.35
Canada,1943,elevate to embassy,56.13,-106.35
Cape Verde,1978,establish embassy,16,-24.01
Central African Republic,1961,establish embassy,6.61,20.94
Chad,1961,establish embassy,15.45,18.73
Chad,1980,closure,15.45,18.73
Chad,1982,reopen embassy,15.45,18.73
Chile,1824,establish legation,-35.68,-71.54
Chile,1914,elevate to embassy,-35.68,-71.54
China,1862,establish legation,35.86,104.2
China,1935,elevate to embassy,35.86,104.2
Colombia,1823,establish legation,4.57,-74.3
